Column1,Column2,Column3,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
3,6,1.2,0.142001371,2.277239799,0.184628879,0.094351762
4,8,1.2,0.225641656,2.197672033,0.202495994,0.052275468
5,10,1.2,0.261383229,2.160298109,0.120227895,0.110907574
6,12,1.2,0.351655567,2.0963727,0.248839535,0.062270926
7,14,1.2,0.430681819,2.030627298,0.130231207,0.157150819
8,16,1.2,0.453443378,1.955729604,0.121985914,0.172970069
9,18,1.2,0.507170844,1.878968,0.160195524,0.187217021
10,20,1.2,0.581979811,1.783501267,0.196162912,0.237737869
11,22,1.2,0.583125973,1.693244171,0.120751056,0.206102446
12,24,1.2,0.622105205,1.58286109,0.086004801,0.274533321
13,26,1.2,0.661383235,1.488164997,0.132051082,0.271779371
14,28,1.2,0.676234329,1.395347071,0.095208026,0.202152109
15,30,1.2,0.6794034,1.299406505,0.028817998,0.201902839
16,32,1.2,0.655152822,1.262323022,0.176816414,0.299721039
17,34,1.2,0.678516865,1.190622401,0.165054524,0.292110995
18,36,1.2,0.709428883,1.092810893,0.028824688,0.154586123
19,38,1.2,0.7156201,1.030998981,0.076805842,0.194953613
20,40,1.2,0.728702974,0.980495024,0.028547837,0.158162595
21,42,1.2,0.729471982,0.943099189,0.052123731,0.140716035
22,44,1.2,0.734546435,0.904439819,0.058234771,0.14807004
23,46,1.2,0.742936909,0.860877061,0.031235281,0.09832049
24,48,1.2,0.742025864,0.857020795,0.034774744,0.094631801
25,50,1.2,0.750284088,0.823667657,0.022878523,0.095724794
26,52,1.2,0.749666929,0.810383582,0.037835637,0.068685758
27,54,1.2,0.743265092,0.82331171,0.029016593,0.055702028
28,56,1.2,0.75889498,0.778480518,0.050291463,0.142796825
29,58,1.2,0.769425941,0.746290851,0.049500368,0.102078308
30,60,1.2,0.759041929,0.768718553,0.045114779,0.128722108
31,62,1.2,0.7700333,0.732254553,0.047519809,0.148574252
32,64,1.2,0.780662239,0.706361639,0.032411081,0.079750116
33,66,1.2,0.78302803,0.698119879,0.037406208,0.119151199
34,68,1.2,0.776689851,0.708738685,0.041748691,0.105700844
35,70,1.2,0.786422408,0.684474337,0.038225241,0.10419292
36,72,1.2,0.789694345,0.672322714,0.014020288,0.04464532
37,74,1.2,0.792505872,0.662188709,0.013006162,0.044668211
38,76,1.2,0.792094433,0.663247418,0.024854274,0.082019219
39,78,1.2,0.795214534,0.658916855,0.023235023,0.077508032
40,80,1.2,0.796537018,0.651102948,0.011109431,0.047261096
41,82,1.2,0.796292126,0.64832046,0.014137457,0.062395985
42,84,1.2,0.796027625,0.651415157,0.046433624,0.135239255
43,86,1.2,0.801969051,0.635944319,0.021666846,0.076928945
44,88,1.2,0.804212379,0.625907946,0.022641961,0.082115284
45,90,1.2,0.797923195,0.639611602,0.034259737,0.108916846
46,92,1.2,0.806749606,0.619173336,0.025391149,0.068179372
47,94,1.2,0.813386559,0.597264349,0.021427244,0.062482459
48,96,1.2,0.807969236,0.610427213,0.026404866,0.077311942
49,98,1.2,0.810721993,0.60927459,0.029444878,0.088035294
50,100,1.2,0.816354823,0.589762509,0.032956467,0.092252719
0,0,1.34,0.102635188,2.609156513,0.023533827,0.425862172
1,2,1.34,0.127840909,2.3180439,0.106457006,0.048194633
2,4,1.34,0.138317986,2.292362928,0.124065221,0.151404066
3,6,1.34,0.163224921,2.250619984,0.166440787,0.071560334
4,8,1.34,0.255255681,2.194350195,0.319078549,0.109852648
5,10,1.34,0.302194348,2.135646343,0.197730556,0.087121016
6,12,1.34,0.382773316,2.083477068,0.272788201,0.137912151
